Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised production
2014-01-17 01.59.57,30.156,44.06,17.357,0.9471,0.9998
2014-01-17 02.59.57,30.156,44.06,17.357,0.9207,0.9963
2014-01-17 03.59.57,30.369,44.06,17.357,0.8766,0.9857
2014-01-17 04.59.57,30.789,44.06,17.357,0.9207,0.9886
2014-01-17 05.59.57,32.759,43.648,16.811,0.8666,0.9837
2014-01-17 06.59.57,34.2,44.198,16.457,0.8142,0.9746
2014-01-17 07.59.57,34.098,43.971,16.635,0.8721,0.9767
2014-01-17 08.59.57,33.148,42.828,15.549,0.9356,0.9797
2014-01-17 09.59.57,34.098,43.432,15.549,0.9076,0.9382
2014-01-17 10.59.57,33.411,43.923,15.802,0.931,0.9668
2014-01-17 11.59.57,33.411,43.923,15.912,0.9177,0.9739
2014-01-17 12.59.57,32.725,44.203,17.001,0.8952,0.9676
2014-01-17 13.59.57,32.725,44.06,17.285,0.9158,0.9595
2014-01-17 14.59.57,32.725,44.06,17.357,0.8824,0.954
2014-01-17 15.59.57,32.725,44.668,17.357,0.8179,0.9385
2014-01-17 16.59.57,32.374,44.229,17.357,0.7224,0.9455
2014-01-17 17.59.57,31.402,44.06,17.357,0.6519,0.9476
2014-01-17 18.59.57,30.369,44.06,17.357,0.6433,0.9464
2014-01-17 19.59.57,30.253,44.06,17.357,0.7027,0.9383
2014-01-17 20.59.57,30.156,44.06,17.357,0.6678,0.9217
2014-01-17 21.59.57,30.156,44.06,17.357,0.5533,0.8805
2014-01-17 22.59.57,30.156,44.06,17.357,0.5763,0.8945
2014-01-17 23.59.57,25.642,41.991,14.153,0.7791,0.8827
2014-01-18 00.59.57,25.642,41.991,14.153,0.6671,0.871
2014-01-18 01.59.57,25.516,41.991,14.153,0.6164,0.865
2014-01-18 02.59.57,25.642,41.991,14.153,0.6797,0.8731
2014-01-18 03.59.57,25.642,41.991,14.153,0.6697,0.8774
2014-01-18 04.59.57,26.331,41.991,14.153,0.7745,0.8895
2014-01-18 05.59.57,26.68,41.991,14.153,0.794,0.922
2014-01-18 06.59.57,26.966,41.991,14.153,0.7648,0.9402
2014-01-18 07.59.57,26.887,41.991,14.11,0.7258,0.9385
2014-01-18 08.59.57,26.65,40.691,12.731,0.6915,0.9327
2014-01-18 09.59.57,26.331,40.691,12.731,0.7464,0.9109
2014-01-18 10.59.57,27.925,40.691,12.731,0.7678,0.9339
2014-01-18 11.59.57,29.05,40.968,12.731,0.8838,0.936
2014-01-18 12.59.57,30.204,41.496,12.731,0.937,0.9238
