HA production forecast,Realised Balancing Price,System Signal 
0.0129,210.4116147,1
0.0391,210.4116147,1
0.0453,210.4116147,1
0.0123,75.38,0
0,74.2,0
0,71.265,0
0,71.265,0
0,71.265,0
0,71.265,0
0.0408,210.4116147,1
0.0681,210.4116147,1
0.1331,210.4116147,1
0.0853,210.4116147,1
0.1122,210.4116147,1
0.1049,77.905,0
0.0916,70.185,0
0.0591,67.347,0
0.0838,67.347,0
0.0685,67.347,0
0.078,70.523,0
0.0807,61.51,0
0.1439,61.501,0
0.1473,69.883,0
0.1987,62.549,0
0.2183,60.462,0
0.2531,60.462,0
0.3976,58.519,0
0.4828,58.519,0
0.5371,58.519,0
0.4657,41.82,0
0.5287,41.473,0
0.6689,41.473,0
0.6309,41.473,0
0.4878,41.473,0
0.7578,43.061,0
0.6962,46.522,0
0.6853,57.352,0
0.7512,47.925,0
0.7258,210.4116147,1
0.8214,210.4116147,1
0.8307,38.89,0
0.9469,38.89,0
0.9366,210.4116147,1
0.9606,210.4116147,1
0.7934,210.4116147,1
0.8102,47.408,1
0.8012,47.925,0
0.8146,46.543,0
0.7234,44.854,0
0.8684,42.757,0
0.9757,41.922,0
0.996,210.4116147,1
0.995,210.4116147,1
0.9573,39.077,0
0.9696,39.077,0
0.9737,39.077,0
0.8994,39.077,0
0.9365,39.077,0
0.8715,39.641,0
0.6919,44.417,0
0.8483,48.425,0
0.9094,47.162,0
0.9247,47.419,0
0.6894,47.925,0
0.7216,48.273,0
0.6807,47.514,0
0.5545,48.737,0
0.5709,50.331,0
0.5457,56.401,0
0.6701,56.401,0
0.5949,56.401,0
0.5322,56.401,0
0.5355,50.878,0
0.4085,49.921,0
0.4162,47.794,0
0.3114,46.852,0
0.3018,46.852,0
0.4066,210.4116147,1
0.2653,210.4116147,1
0.2969,210.4116147,1
0.2357,210.4116147,1
0.1967,210.4116147,1
0.1487,52.739,0
0.1792,52.739,0
0.1924,52.739,0
0.1815,210.4116147,1
0.1334,210.4116147,1
0.2803,68.138,0
0.1953,68.138,0
0.1183,210.4116147,1
0.1424,68.138,0
0.1908,70.365,0
0.143,72.478,0
0.2381,210.4116147,1
0.2205,57.651,0
0.1361,57.651,0
0.1944,52.739,0
0.1285,52.739,0
0.1631,52.739,0
0.1564,54.996,0
0.2465,53.082,0
0.2829,210.4116147,1
0.2953,210.4116147,1
0.2009,210.4116147,1
0.2589,210.4116147,1
0.2848,210.4116147,1
0.2276,210.4116147,1
0.1953,210.4116147,1
0.1828,210.4116147,1
0.3354,210.4116147,1
0.3681,210.4116147,1
0.3902,210.4116147,1
0.3792,210.4116147,1
0.289,210.4116147,1
0.269,210.4116147,1
0.3792,210.4116147,1
0.4296,210.4116147,1
0.4908,44.412,0
0.4079,44.203,0
0.3988,210.4116147,1
0.5649,210.4116147,1
0.7121,43.144,0
0.789,43.144,0
0.6799,43.144,0
0.6129,43.144,0
0.6295,42.902,0
0.6873,42.902,0
0.5875,42.902,0
0.6079,210.4116147,1
0.5187,42.902,0
0.6331,210.4116147,1
0.5913,210.4116147,1
0.6347,210.4116147,1
0.4802,47.496,0
0.5611,45.888,0
0.539,47.493,0
0.4504,47.496,0
0.5298,46.734,0
0.4846,47.471,0
0.5824,47.925,0
0.6153,49.419,0
0.6104,50.628,0
0.5143,50.628,0
0.6209,48.903,0
0.6505,48.737,0
0.5701,47.471,0
0.5469,43.613,0
0.6322,45.631,0
0.7555,42.902,0
0.3647,210.4116147,1
