time,Spot price 2025,Spot price 2035,Spot price 2045,DA forecast,Realised production
21/01/1985 12.00,34.231,48.35,53.117,0.2841,0.1946
21/01/1985 13.00,34.053,48.35,53.117,0.3308,0.2006
21/01/1985 14.00,34.053,48.35,53.117,0.3288,0.213
21/01/1985 15.00,34.053,49.154,54.655,0.419,0.2673
21/01/1985 16.00,33.784,49.222,54.702,0.5019,0.3015
21/01/1985 17.00,33.81,49.222,54.702,0.6841,0.4056
21/01/1985 18.00,33.583,49.222,54.702,0.7911,0.4516
21/01/1985 19.00,33.351,49.222,54.702,0.7486,0.4271
21/01/1985 20.00,32.699,49.222,54.702,0.767,0.5277
21/01/1985 21.00,32.699,49.222,54.702,0.8383,0.6496
21/01/1985 22.00,32.699,49.222,54.702,0.7477,0.5826
21/01/1985 23.00,32.699,49.222,54.702,0.8952,0.6697
22/01/1985 00.00,26.179,46.276,46.315,0.5984,0.6678
22/01/1985 01.00,24.859,46.276,46.315,0.4324,0.5088
22/01/1985 02.00,24.475,46.276,46.315,0.4329,0.5233
22/01/1985 03.00,24.475,46.276,46.315,0.4063,0.4728
22/01/1985 04.00,24.475,46.276,46.315,0.3403,0.4149
22/01/1985 05.00,24.475,46.276,46.315,0.2541,0.363
22/01/1985 06.00,26.186,45.908,45.406,0.2263,0.325
22/01/1985 07.00,29.571,44.197,45.692,0.1685,0.2729
22/01/1985 08.00,26.879,45.22,45.375,0.2414,0.3266
22/01/1985 09.00,25.644,43.333,44.482,0.1952,0.276
22/01/1985 10.00,24.996,41.651,43.647,0.2026,0.2818
22/01/1985 11.00,24.549,41.651,43.647,0.1772,0.2844
22/01/1985 12.00,24.076,41.651,43.647,0.1638,0.3016
22/01/1985 13.00,24.076,42.34,44.067,0.1862,0.328
22/01/1985 14.00,24.37,43.307,45.141,0.2353,0.3514
22/01/1985 15.00,25.209,44.998,46.017,0.2562,0.3855
22/01/1985 16.00,25.644,46.276,46.315,0.1913,0.3566
22/01/1985 17.00,25.644,46.276,46.315,0.1757,0.3517
22/01/1985 18.00,25.644,46.276,46.315,0.18,0.355
22/01/1985 19.00,25.644,46.276,46.315,0.2274,0.3797
22/01/1985 20.00,24.996,46.276,46.315,0.2395,0.3946
22/01/1985 21.00,24.475,46.276,46.315,0.3027,0.4422
22/01/1985 22.00,24.475,46.276,46.315,0.3127,0.3887
22/01/1985 23.00,24.475,46.276,46.315,0.3563,0.3954
23/01/1985 00.00,29.861,46.892,49.183,0.6378,0.4321
23/01/1985 01.00,29.861,46.892,49.183,0.771,0.557
